,Serienummer,SID,Tijdstip van indienen,Verwerkingstijd,Tijdstip van wijziging,Concept,UID,Wat is je leeftijd?,Wat is je geslacht?,In welk leerjaar zit je?,Hoeveel uur wiskunde krijg je per week?,"Hoe goed ben je, volgens jezelf, in wiskunde?","Hoe goed ben je, volgens jezelf, met het gebruik van computers?","Gebruikte je al eens een andere website om online oefeningen te maken? (bijvoorbeeld voor wiskunde, Nederlands ...)","Gebruik je websites waar producten/films/... worden aangeraden? (zoals Netflix, Amazon, Bol, ...)",Ik bezoek Wiski niet met Safari of Firefox.
0,1,1,04/17/2021 - 17:53,04/17/2021 - 17:53,04/17/2021 - 17:53,0,1846, Jonger dan 13, Anders, Anders, Minder dan 2, Heel zwak, Heel zwak, Nee, Nee,
1,2,2,04/17/2021 - 20:32,04/17/2021 - 20:32,04/17/2021 - 20:32,0,1847, Jonger dan 13, Anders, Anders, Minder dan 2, Heel zwak, Heel zwak, Nee, Nee,
2,3,3,04/17/2021 - 22:56,04/17/2021 - 22:56,04/17/2021 - 22:56,0,1854, Ouder dan 18, Jongen, Anders, Meer dan 8, Heel goed, Heel goed, Ja, Ja,
3,4,4,04/18/2021 - 20:35,04/18/2021 - 20:35,04/18/2021 - 20:35,0,1864, Ouder dan 18, Meisje, Anders, Minder dan 2, Zwak, Gemiddeld, Nee, Ja,
4,5,7,04/19/2021 - 15:59,04/19/2021 - 15:59,04/19/2021 - 15:59,0,1865, Ouder dan 18, Meisje, Anders, Minder dan 2, Goed, Goed, Ja, Ja,
5,6,8,04/19/2021 - 16:54,04/19/2021 - 16:54,04/19/2021 - 16:54,0,1868, Ouder dan 18, Jongen, Anders, Minder dan 2, Heel zwak, Zwak, Nee, Ja,
6,7,10,04/20/2021 - 18:01,04/20/2021 - 18:01,04/20/2021 - 18:01,0,1869, Ouder dan 18, Jongen, Anders,6, Heel goed, Heel goed, Ja, Nee,
7,8,12,04/21/2021 - 14:36,04/21/2021 - 14:36,04/21/2021 - 14:36,0,1878,15, Jongen, Anders,7, Gemiddeld, Gemiddeld, Ja, Nee, Ja
8,9,14,04/21/2021 - 14:45,04/21/2021 - 14:45,04/21/2021 - 14:45,0,1879,13, Jongen, 3e middelbaar, Minder dan 2, Heel zwak, Heel zwak, Nee, Ja,2
9,10,15,04/21/2021 - 14:49,04/21/2021 - 14:49,04/21/2021 - 14:49,0,1880, Jonger dan 13, Jongen, 3e middelbaar, Minder dan 2, Heel zwak, Heel zwak, Nee, Nee, Ja
10,11,17,04/21/2021 - 16:36,04/21/2021 - 16:36,04/21/2021 - 16:36,0,1881, Ouder dan 18, Jongen, Anders, Minder dan 2, Heel goed, Heel goed, Ja, Ja, Ja
11,12,19,04/21/2021 - 20:32,04/21/2021 - 20:32,04/21/2021 - 20:32,0,1882,17, Anders, 5e middelbaar,7, Heel zwak, Heel zwak, Ja, Nee, Ja
12,13,20,04/22/2021 - 21:54,04/22/2021 - 21:54,04/22/2021 - 21:54,0,1884, Ouder dan 18, Meisje, Anders,3, Gemiddeld, Gemiddeld, Ja, Ja, Ja
13,14,21,04/25/2021 - 11:29,04/25/2021 - 11:29,04/25/2021 - 11:29,0,1886,16, Meisje, 4e middelbaar,5, Goed, Goed, Ja, Ja, Ja
14,15,22,04/25/2021 - 11:51,04/25/2021 - 11:51,04/25/2021 - 11:51,0,1887,16, Meisje, 4e middelbaar,5, Zwak, Gemiddeld, Nee, Ja, Ja
15,16,25,04/26/2021 - 10:57,04/26/2021 - 10:57,04/26/2021 - 10:57,0,1888,15, Meisje, 4e middelbaar,5, Goed, Goed, Nee, Nee, Ja
16,17,27,04/26/2021 - 13:03,04/26/2021 - 13:03,04/26/2021 - 13:03,0,1889,16, Meisje, 4e middelbaar,5, Goed, Goed, Ja, Ja, Ja
17,18,29,04/26/2021 - 16:28,04/26/2021 - 16:28,04/26/2021 - 16:28,0,1890,15, Meisje, 4e middelbaar,5, Gemiddeld, Goed, Ja, Ja, Ja
18,19,30,04/26/2021 - 16:50,04/26/2021 - 16:50,04/26/2021 - 16:50,0,1891,15, Meisje, 6e middelbaar,5, Goed, Gemiddeld, Ja, Nee, Ja
19,20,32,04/26/2021 - 17:43,04/26/2021 - 17:43,04/26/2021 - 17:43,0,1892,15, Meisje, 4e middelbaar,5, Goed, Goed, Ja, Ja, Ja
20,21,33,04/26/2021 - 18:38,04/26/2021 - 18:38,04/26/2021 - 18:38,0,1893,15, Jongen, 4e middelbaar,5, Gemiddeld, Goed, Ja, Ja, Ja
21,22,35,04/26/2021 - 18:48,04/26/2021 - 18:48,04/26/2021 - 18:48,0,1894,15, Meisje, 4e middelbaar,5, Gemiddeld, Goed, Ja, Ja, Ja
22,23,38,04/26/2021 - 19:19,04/26/2021 - 19:19,04/26/2021 - 19:19,0,1895,15, Meisje, 4e middelbaar,5, Goed, Zwak, Nee, Ja, Ja
23,24,39,04/26/2021 - 19:19,04/26/2021 - 19:19,04/26/2021 - 19:19,0,1895,15, Meisje, 4e middelbaar,5, Goed, Zwak, Nee, Ja, Ja
24,25,40,04/26/2021 - 19:26,04/26/2021 - 19:26,04/26/2021 - 19:26,0,1896,16, Meisje, 4e middelbaar,5, Goed, Goed, Ja, Ja, Ja
25,26,41,04/26/2021 - 19:27,04/26/2021 - 19:27,04/26/2021 - 19:27,0,1897, Ouder dan 18, Jongen, Anders, Meer dan 8, Heel goed, Heel goed, Ja, Ja, Ja
26,27,44,04/26/2021 - 19:52,04/26/2021 - 19:52,04/26/2021 - 19:52,0,1898, Ouder dan 18, Meisje, Anders,5, Heel goed, Heel goed, Ja, Nee, Ja
27,28,45,04/26/2021 - 20:27,04/26/2021 - 20:27,04/26/2021 - 20:27,0,1899,15, Jongen, 4e middelbaar,5, Gemiddeld, Goed, Nee, Nee, Ja
