"result_answer_id","result_id","question_nid","question_vid","tid","is_correct","is_skipped","points_awarded","answer_timestamp","number","display_number","is_doubtful"
"1","1","4822","4859","99","1","0","1","1613335571","1","1","0"
"2","1","4833","4870","99","1","0","1","1613335580","2","2","0"
"3","1","5118","5155","99","1","0","1","1613335624","3","3","0"
"4","1","4836","4873","99","1","0","1","1613335633","4","4","0"
"5","1","4825","4862","99","1","0","1","1613335643","5","5","0"
"6","2","5099","5136","99","0","1","0",NULL,"1","1","0"
"7","2","5112","5149","99","0","1","0",NULL,"2","2","0"
"8","2","5116","5153","99","0","1","0",NULL,"3","3","0"
"9","2","5108","5145","99","0","1","0",NULL,"4","4","0"
"10","2","4826","4863","99","0","1","0",NULL,"5","5","0"
"11","3","5104","5141","99","1","0","1","1613336220","1","1","0"
"12","3","4823","4860","99","1","0","1","1613336231","2","2","0"
"13","3","4824","4861","99","1","0","1","1613336240","3","3","0"
"14","3","4836","4873","99","1","0","1","1613336252","4","4","0"
"15","3","5098","5135","99","1","0","1","1613336260","5","5","0"
"16","4","5118","5155","99","1","0","1","1613336848","1","1","0"
"17","4","4838","4875","99","1","0","1","1613336858","2","2","0"
"18","4","4827","4864","99","1","0","1","1613336869","3","3","0"
"19","4","5114","5151","99","1","0","1","1613336879","4","4","0"
"20","4","4826","4863","99","1","0","1","1613336885","5","5","0"
"21","5","5146","5183","102","0","0","0",NULL,"1","1","0"
"22","5","5134","5171","102","0","0","0",NULL,"2","2","0"
"23","5","5136","5173","102","0","0","0",NULL,"3","3","0"
"24","5","5127","5164","102","0","0","0",NULL,"4","4","0"
"25","5","5135","5172","102","0","0","0",NULL,"5","5","0"
"26","6","4825","4862","99","1","0","1","1613337675","1","1","0"
"27","6","5116","5153","99","1","0","1","1613337735","2","2","0"
"28","6","5101","5138","99","1","0","1","1613337813","3","3","0"
"29","6","5117","5154","99","1","0","1","1613337827","4","4","0"
"30","6","5098","5135","99","1","0","1","1613337833","5","5","0"
"31","7","4871","4908","77","0","1","0",NULL,"1","1","0"
"32","7","4878","4915","77","0","1","0",NULL,"2","2","0"
"33","7","4888","4925","77","0","1","0",NULL,"3","3","0"
"34","7","4870","4907","77","0","1","0",NULL,"4","4","0"
"35","7","4881","4918","77","0","1","0",NULL,"5","5","0"
"36","8","4841","4878","99","0","1","0",NULL,"1","1","0"
"37","8","4837","4874","99","0","1","0",NULL,"2","2","0"
"38","8","5118","5155","99","0","1","0",NULL,"3","3","0"
"39","8","5113","5150","99","0","1","0",NULL,"4","4","0"
"40","8","4844","4881","99","0","1","0",NULL,"5","5","0"
"41","9","5389","5426","112","0","1","0",NULL,"1","1","0"
"42","9","5410","5447","112","0","1","0",NULL,"2","2","0"
"43","9","5430","5467","112","0","1","0",NULL,"3","3","0"
"44","9","5414","5451","112","0","1","0",NULL,"4","4","0"
"45","9","5408","5445","112","0","1","0",NULL,"5","5","0"
"46","10","5203","5240","105","1","0","1","1613338553","1","1","0"
"47","10","5195","5232","105","1","0","1","1613338562","2","2","0"
"48","10","5192","5229","105","1","0","1","1613338574","3","3","0"
"49","10","5175","5212","105","1","0","1","1613338580","4","4","0"
"50","10","5206","7479","105","1","0","1","1613338585","5","5","0"
"51","11","6778","6815","182","0","1","0",NULL,"1","1","0"
"52","11","6678","6715","182","0","1","0",NULL,"2","2","0"
"53","11","6679","6716","182","0","1","0",NULL,"3","3","0"
"54","11","6782","6819","182","0","1","0",NULL,"4","4","0"
"55","11","6781","6818","182","0","1","0",NULL,"5","5","0"
"56","12","6783","6820","182","1","0","1","1613338790","1","1","0"
"57","12","6782","6819","182","1","0","1","1613338802","2","2","0"
"58","12","6787","6824","182","1","0","1","1613338807","3","3","0"
"59","12","6784","6821","182","1","0","1","1613338811","4","4","0"
"60","12","6676","6713","182","1","0","1","1613338814","5","5","0"
"61","13","5207","7478","105","1","0","1","1613921556","1","1","0"
"62","13","5172","5209","105","0","0","0",NULL,"2","2","0"
"63","13","5200","5237","105","0","0","0",NULL,"3","3","0"
"64","13","5192","5229","105","0","0","0",NULL,"4","4","0"
"65","13","5197","5234","105","0","0","0",NULL,"5","5","0"
