"result_id","nid","vid","uid","time_start","time_end","released","score","is_invalid","is_evaluated","time_left","attempt","type"
"1","7287","7326","1","1613335543","1613335643","0","100","0","1","0","1","quiz_result"
"2","7287","7326","1","1613336124","1613336142","0","0","0","1","0","2","quiz_result"
"3","7287","7326","1","1613336171","1613336260","0","100","0","1","0","3","quiz_result"
"4","7287","7326","1","1613336827","1613336885","0","100","0","1","0","4","quiz_result"
"5","7312","7351","1","1613336957",NULL,"0","0","0","0","0","1","quiz_result"
"6","7287","7326","1","1613337558","1613337833","0","100","0","1","0","5","quiz_result"
"7","7288","7327","1","1613337710","1613338468","0","0","0","1","0","1","quiz_result"
"8","7287","7326","1","1613337868","1613338451","0","0","0","1","0","6","quiz_result"
"9","7318","7357","1","1613338480","1613338484","0","0","0","1","0","1","quiz_result"
"10","7292","7331","1","1613338542","1613338585","0","100","0","1","0","1","quiz_result"
"11","7360","7399","1","1613338749","1613338752","0","0","0","1","0","1","quiz_result"
"12","7360","7399","1","1613338783","1613338814","0","100","0","1","0","2","quiz_result"
"13","7292","7331","1","1613338841",NULL,"0","0","0","0","0","2","quiz_result"
"14","7287","7326","1","1613679677","1613679681","0","0","0","1","0","7","quiz_result"
"15","7287","7326","1","1613679684","1613679686","0","0","0","1","0","8","quiz_result"
"16","7287","7326","1","1613679735","1613679737","0","0","0","1","0","9","quiz_result"
"17","7287","7326","1","1613679740","1613679742","0","0","0","1","0","10","quiz_result"
"18","7287","7326","1","1613679780","1613911085","0","100","0","1","0","11","quiz_result"
"19","7287","7326","1","1613917973","1613918295","0","60","0","1","0","12","quiz_result"
"20","7288","7327","1","1613921398","1613921500","0","100","0","1","0","2","quiz_result"
"21","7287","7326","1","1613926953","1614167748","0","100","0","1","0","13","quiz_result"
"22","7341","7380","1","1613927285",NULL,"0","0","0","0","0","1","quiz_result"
"23","7294","7333","1","1613927383",NULL,"0","0","0","0","0","1","quiz_result"
"24","7287","7326","1","1614167760","1614167794","0","20","0","1","0","14","quiz_result"
"25","7287","7326","1","1614167807",NULL,"0","0","0","0","0","15","quiz_result"
"26","9192","12605","1","1615142318","1615142330","0","0","0","1","0","1","quiz_result"
"27","9205","12618","1","1615142575","1615142587","0","0","0","1","0","1","quiz_result"
"28","9203","12616","1","1615142831","1615142841","0","0","0","1","0","1","quiz_result"
"29","9200","12613","1","1615142912","1615142923","0","100","0","1","0","1","quiz_result"
"30","9174","12587","1","1615142962","1615142967","0","0","0","1","0","1","quiz_result"
"31","9198","12611","1","1615143039","1615143044","0","0","0","1","0","1","quiz_result"
"32","9186","12599","1","1615143248","1615143254","0","0","0","1","0","1","quiz_result"
"33","9167","12580","1","1615143266","1615143283","0","0","0","1","0","1","quiz_result"
"34","9167","12580","1","1615143320","1615143326","0","0","0","1","0","2","quiz_result"
"35","9167","12580","1","1615143368","1615143372","0","0","0","1","0","3","quiz_result"
"36","9167","12580","1","1615143405","1615143409","0","0","0","1","0","4","quiz_result"
"37","9167","12580","1","1615143540","1615144226","0","0","0","1","0","5","quiz_result"
"38","9167","12580","1","1615144289","1615144343","0","100","0","1","0","6","quiz_result"
"39","9167","12580","1","1615144356","1615144360","0","0","0","1","0","7","quiz_result"
"40","9167","12580","1","1615145566","1615145573","0","0","0","1","0","8","quiz_result"
"41","9167","12580","1","1615145592","1615145597","0","0","0","1","0","9","quiz_result"
"42","9167","12580","1","1615145630","1615145635","0","0","0","1","0","10","quiz_result"
"43","9167","12580","1","1615145827","1615145832","0","0","0","1","0","11","quiz_result"
"44","9187","12600","1","1615148772","1615148790","0","0","0","1","0","1","quiz_result"
