"id","uid","quiz_result_id","quiz_result_answer_id","element","timestamp","attempts"
"1","1","410","510","Button: First Recommended","1617444915163","3"
"2","1","412","512","Button: Second Recommended","1617445338422","4"
"3","1","413","513","Button: Third Recommended","1617445369168","2"
"4","1","415","515","Button: Oefeningenoverzicht","1617449608704","1"
"5","1812","417","517","Button: First Recommended","1617552068236","2"
"6","1812","418","518","Button: Oefeningenoverzicht","1617552163429","2"
"7","1812","420","520","Button: Oefeningenoverzicht","1617552406254","1"
"8","1812","421","521","Button: Oefeningenoverzicht","1617552582104","1"
"9","1812","422","522","Button: Oefeningenoverzicht","1617552645106","2"
"10","1802","423","523","Button: First Recommended","1617553328462","1"
"11","1802","424","524","Button: First Recommended","1617553444365","4"
"12","1802","425","525","Button: Oefeningenoverzicht","1617553525312","5"
"13","1802","426","526","Button: First Recommended","1617555197264","1"
"14","1802","426","526","Button: Second Recommended","1617555250466","1"
"15","1812","427","527","Button: Oefeningenoverzicht","1617557473334","3"
"16","1812","430","529","Button: Oefeningenoverzicht","1617557652196","1"
"17","1814","431","530","Button: Oefeningenoverzicht","1617622136195","1"
"18","1","433","532","Button: Third Recommended","1617709106263","3"
"19","1","434","533","Button: Second Recommended","1617709122229","1"
"20","1","435","534","Button: First Recommended","1617709134874","1"
"21","1","436","535","Button: First Recommended","1617709151915","2"
"22","1","437","536","Button: First Recommended","1617709165789","2"
"23","1","438","537","Button: First Recommended","1617709180379","2"
"24","1","439","538","Button: First Recommended","1617709197416","4"
"25","1","440","539","Button: First Recommended","1617709213040","3"
"26","1","441","540","Button: First Recommended","1617709227482","2"
"27","1","442","541","Button: First Recommended","1617709241653","3"
"28","1","443","542","Button: First Recommended","1617709252682","1"
"29","1","445","544","Button: Onderwerpenoverzicht","1617712356711","2"
"30","1802","447","546","Button: First Recommended","1617712593098","1"
"31","1802","448","547","Button: Oefeningenoverzicht","1617712611055","1"
"32","1","451","549","Button: Oefeningenoverzicht","1617916407022","1"
"33","1802","454","552","Button: Oefeningenoverzicht","1617916834839","1"
"34","1802","461","559","Button: Oefeningenoverzicht","1617917829710","1"
"35","1","466","564","Button: Oefeningenoverzicht","1617958761546","1"
"36","1","468","566","Button: Onderwerpenoverzicht","1617976554157","3"
"37","1","469","567","Button: Oefeningenoverzicht","1617976604888","6"
"38","1","471","569","Button: Oefeningenoverzicht","1617978557724","2"
"39","1","473","571","Button: Onderwerpenoverzicht","1617980587454","2"
"40","1","475","573","Button: Onderwerpenoverzicht","1617980869700","2"
"41","1","477","575","Button: Onderwerpenoverzicht","1617981013805","2"
"42","1","478","576","Button: Onderwerpenoverzicht","1617981054961","3"
"43","1","479","577","Button: Onderwerpenoverzicht","1617981387611","1"
"44","1","481","579","Button: Oefeningenoverzicht","1617982094430","3"
"45","1","483","581","Button: Onderwerpenoverzicht","1617990046045","1"
"46","1","484","582","Button: Oefeningenoverzicht","1617990129247","1"
"47","1836","485","583","Button: First Recommended","1617992318530","1"
"48","1836","486","584","Button: First Recommended","1617992332601","2"
"49","1836","487","585","Button: Oefeningenoverzicht","1617992345339","1"
"50","1837","489","587","Button: First Recommended","1617992549010","2"
"51","1837","490","588","Button: First Recommended","1617992567432","2"
"52","1837","491","589","Button: First Recommended","1617992615152","10"
"53","1837","493","591","Button: Oefeningenoverzicht","1617992713632","2"
"54","1838","494","592","Button: Third Recommended","1617993084607","7"
"55","1838","496","594","Button: Second Recommended","1617993134117","2"
"56","1","500","598","Button: Oefeningenoverzicht","1618007779766","1"
